,index,model,latency,lag,dataset,#task,tasks,image_dir,task_names
24,25,yolov3,1.7816041913212175,87,coco_val,24,71 63 5 49 32 29 26 57 17 21 77 36 57 15 56 6 31 74 10 50 30 54 22 51,/datasets/coco/val/val2017,"sink,laptop,bus,orange,sports ball,frisbee,handbag,couch,horse,bear,teddy bear,skateboard,couch,cat,chair,train,snowboard,clock,fire hydrant,broccoli,skis,donut,zebra,carrot"
25,26,yolov3,1.8976838883923928,60,coco_val,36,48 28 5 46 32 52 42 17 68 54 19 21 16 64 38 30 30 65 59 29 23 37 70 15 2 11 25 23 52 69 69 10 3 57 10 40,/datasets/coco/val/val2017,"sandwich,suitcase,bus,banana,sports ball,hot dog,fork,horse,microwave,donut,cow,bear,dog,mouse,tennis racket,skis,skis,remote,bed,frisbee,giraffe,surfboard,toaster,cat,car,stop sign,umbrella,giraffe,hot dog,oven,oven,fire hydrant,motorcycle,couch,fire hydrant,wine glass"
26,27,yolov3,0.001908681625637936,89,coco_val,1,12,/datasets/coco/val/val2017,parking meter
27,28,yolov3,0.0013456155924929365,51,coco_val,13,35 39 11 77 25 67 73 10 63 5 50 78 5,/datasets/coco/val/val2017,"baseball glove,bottle,stop sign,teddy bear,umbrella,cell phone,book,fire hydrant,laptop,bus,broccoli,toothbrush,bus"
28,29,yolov3,1.003635928289545,74,coco_val,17,10 72 57 12 69 74 28 58 37 73 35 19 59 25 60 5 72,/datasets/coco/val/val2017,"fire hydrant,refrigerator,couch,parking meter,oven,clock,suitcase,potted plant,surfboard,book,baseball glove,cow,bed,umbrella,dining table,bus,refrigerator"
29,30,yolov3,0.7920903900435319,93,coco_val,30,27 46 66 39 67 15 63 31 7 19 42 69 45 20 56 45 74 68 77 36 17 48 69 14 38 74 66 0 57 74,/datasets/coco/val/val2017,"tie,banana,keyboard,bottle,cell phone,cat,laptop,snowboard,truck,cow,fork,oven,bowl,elephant,chair,bowl,clock,microwave,teddy bear,skateboard,horse,sandwich,oven,bird,tennis racket,clock,keyboard,person,couch,clock"
30,31,yolov3,0.002111766268022416,34,coco_val,18,61 73 63 63 50 71 42 42 72 72 73 59 3 72 27 23 18 19,/datasets/coco/val/val2017,"toilet,book,laptop,laptop,broccoli,sink,fork,fork,refrigerator,refrigerator,book,bed,motorcycle,refrigerator,tie,giraffe,sheep,cow"
31,32,yolov3,0.02455211454309067,30,coco_val,21,42 27 2 46 1 41 35 49 13 54 68 11 42 75 25 69 56 55 39 28 16,/datasets/coco/val/val2017,"fork,tie,car,banana,bicycle,cup,baseball glove,orange,bench,donut,microwave,stop sign,fork,vase,umbrella,oven,chair,cake,bottle,suitcase,dog"
32,33,yolov3,1.452185418161848,54,coco_val,12,37 10 0 57 59 8 63 0 5 52 0 19,/datasets/coco/val/val2017,"surfboard,fire hydrant,person,couch,bed,boat,laptop,person,bus,hot dog,person,cow"
33,34,yolov3,0.05754327801888204,25,coco_val,29,21 66 27 4 16 17 6 32 36 27 44 38 58 25 31 47 23 72 44 6 34 14 44 53 24 9 21 62 14,/datasets/coco/val/val2017,"bear,keyboard,tie,airplane,dog,horse,train,sports ball,skateboard,tie,spoon,tennis racket,potted plant,umbrella,snowboard,apple,giraffe,refrigerator,spoon,train,baseball bat,bird,spoon,pizza,backpack,traffic light,bear,tv,bird"
34,35,yolov3,0.19226804326716634,40,coco_val,8,15 10 15 51 51 69 14 48,/datasets/coco/val/val2017,"cat,fire hydrant,cat,carrot,carrot,oven,bird,sandwich"
35,36,yolov3,0.011003391415032369,24,coco_val,16,32 12 59 29 69 28 15 67 78 15 36 32 73 10 57 23,/datasets/coco/val/val2017,"sports ball,parking meter,bed,frisbee,oven,suitcase,cat,cell phone,toothbrush,cat,skateboard,sports ball,book,fire hydrant,couch,giraffe"
36,37,yolov3,1.1845695929079971,29,coco_val,6,16 30 23 42 52 32,/datasets/coco/val/val2017,"dog,skis,giraffe,fork,hot dog,sports ball"
37,38,yolov3,0.5690158686044404,36,coco_val,5,78 77 18 40 22,/datasets/coco/val/val2017,"toothbrush,teddy bear,sheep,wine glass,zebra"
38,39,yolov3,0.0011491326176259792,96,coco_val,21,68 4 33 70 77 9 39 55 48 9 7 66 54 65 74 67 19 43 65 68 5,/datasets/coco/val/val2017,"microwave,airplane,kite,toaster,teddy bear,traffic light,bottle,cake,sandwich,traffic light,truck,keyboard,donut,remote,clock,cell phone,cow,knife,remote,microwave,bus"
39,40,yolov3,0.29939799297618797,17,coco_val,12,45 47 58 58 12 41 30 63 45 60 10 68,/datasets/coco/val/val2017,"bowl,apple,potted plant,potted plant,parking meter,cup,skis,laptop,bowl,dining table,fire hydrant,microwave"
40,41,yolov3,2.837638647780458,63,coco_val,29,26 18 13 49 61 19 58 61 49 59 54 41 15 38 66 22 39 5 27 13 2 53 62 69 25 68 42 55 47,/datasets/coco/val/val2017,"handbag,sheep,bench,orange,toilet,cow,potted plant,toilet,orange,bed,donut,cup,cat,tennis racket,keyboard,zebra,bottle,bus,tie,bench,car,pizza,tv,oven,umbrella,microwave,fork,cake,apple"
41,42,yolov3,0.29492885640338257,57,coco_val,12,10 28 70 27 72 67 46 36 76 7 26 44,/datasets/coco/val/val2017,"fire hydrant,suitcase,toaster,tie,refrigerator,cell phone,banana,skateboard,scissors,truck,handbag,spoon"
42,43,yolov3,0.008428572559649813,70,coco_val,10,63 38 9 30 11 20 38 78 3 70,/datasets/coco/val/val2017,"laptop,tennis racket,traffic light,skis,stop sign,elephant,tennis racket,toothbrush,motorcycle,toaster"
43,44,yolov3,1.4031203646303885,44,coco_val,14,63 22 10 44 28 50 46 49 3 14 5 74 25 23,/datasets/coco/val/val2017,"laptop,zebra,fire hydrant,spoon,suitcase,broccoli,banana,orange,motorcycle,bird,bus,clock,umbrella,giraffe"
44,45,yolov3,0.0021915538379443872,42,coco_val,17,64 20 35 77 70 70 13 0 62 68 35 39 41 66 73 37 21,/datasets/coco/val/val2017,"mouse,elephant,baseball glove,teddy bear,toaster,toaster,bench,person,tv,microwave,baseball glove,bottle,cup,keyboard,book,surfboard,bear"
45,46,yolov3,1.0300960822273424,29,coco_val,24,55 15 55 25 68 51 2 14 9 12 52 7 0 76 3 47 13 73 76 18 70 34 69 72,/datasets/coco/val/val2017,"cake,cat,cake,umbrella,microwave,carrot,car,bird,traffic light,parking meter,hot dog,truck,person,scissors,motorcycle,apple,bench,book,scissors,sheep,toaster,baseball bat,oven,refrigerator"
46,47,yolov3,0.9983918097330982,77,coco_val,49,17 55 65 4 5 68 35 62 10 68 8 23 69 30 19 78 36 37 58 43 20 1 75 66 34 42 19 45 22 77 42 45 60 54 21 50 77 37 45 36 39 15 47 29 46 75 68 43 7,/datasets/coco/val/val2017,"horse,cake,remote,airplane,bus,microwave,baseball glove,tv,fire hydrant,microwave,boat,giraffe,oven,skis,cow,toothbrush,skateboard,surfboard,potted plant,knife,elephant,bicycle,vase,keyboard,baseball bat,fork,cow,bowl,zebra,teddy bear,fork,bowl,dining table,donut,bear,broccoli,teddy bear,surfboard,bowl,skateboard,bottle,cat,apple,frisbee,banana,vase,microwave,knife,truck"
47,48,yolov3,1.0093159920861337,34,coco_val,42,9 33 52 28 24 55 14 69 46 45 44 15 7 74 38 32 40 12 9 76 61 61 75 53 29 28 28 8 69 15 78 74 47 4 7 5 31 5 18 28 36 74,/datasets/coco/val/val2017,"traffic light,kite,hot dog,suitcase,backpack,cake,bird,oven,banana,bowl,spoon,cat,truck,clock,tennis racket,sports ball,wine glass,parking meter,traffic light,scissors,toilet,toilet,vase,pizza,frisbee,suitcase,suitcase,boat,oven,cat,toothbrush,clock,apple,airplane,truck,bus,snowboard,bus,sheep,suitcase,skateboard,clock"
48,49,yolov3,1.0089115864542206,93,coco_val,32,64 1 46 75 64 58 14 74 27 48 65 70 12 0 57 42 27 32 0 29 53 77 66 26 45 40 49 19 46 47 61 13,/datasets/coco/val/val2017,"mouse,bicycle,banana,vase,mouse,potted plant,bird,clock,tie,sandwich,remote,toaster,parking meter,person,couch,fork,tie,sports ball,person,frisbee,pizza,teddy bear,keyboard,handbag,bowl,wine glass,orange,cow,banana,apple,toilet,bench"
49,50,yolov3,1.0026867559347294,48,coco_val,5,2 12 26 73 6,/datasets/coco/val/val2017,"car,parking meter,handbag,book,train"
50,51,yolov3,0.0011585930229663366,57,coco_val,7,21 37 43 30 5 48 21,/datasets/coco/val/val2017,"bear,surfboard,knife,skis,bus,sandwich,bear"
51,52,yolov3,0.17412312639850994,15,coco_val,10,62 31 36 29 66 51 44 38 0 1,/datasets/coco/val/val2017,"tv,snowboard,skateboard,frisbee,keyboard,carrot,spoon,tennis racket,person,bicycle"
52,53,yolov3,0.004995635680732403,89,coco_val,2,46 26,/datasets/coco/val/val2017,"banana,handbag"
53,54,yolov3,1.007526230029491,73,coco_val,5,55 62 21 60 43,/datasets/coco/val/val2017,"cake,tv,bear,dining table,knife"
54,55,yolov3,0.04194669457534037,97,coco_val,7,3 31 58 38 65 6 50,/datasets/coco/val/val2017,"motorcycle,snowboard,potted plant,tennis racket,remote,train,broccoli"
55,56,yolov3,1.0015002076028443,42,coco_val,14,32 45 8 58 13 50 48 11 17 55 53 78 6 28,/datasets/coco/val/val2017,"sports ball,bowl,boat,potted plant,bench,broccoli,sandwich,stop sign,horse,cake,pizza,toothbrush,train,suitcase"
56,57,yolov3,1.0785560136214292,52,coco_val,6,38 20 71 42 2 21,/datasets/coco/val/val2017,"tennis racket,elephant,sink,fork,car,bear"
57,58,yolov3,0.0030503904105502557,84,coco_val,7,7 72 61 12 72 62 67,/datasets/coco/val/val2017,"truck,refrigerator,toilet,parking meter,refrigerator,tv,cell phone"
58,59,yolov3,0.08816886576822502,76,coco_val,5,56 57 25 8 73,/datasets/coco/val/val2017,"chair,couch,umbrella,boat,book"
59,60,yolov3,1.2041377558590332,98,coco_val,5,54 9 53 58 59,/datasets/coco/val/val2017,"donut,traffic light,pizza,potted plant,bed"
60,61,yolov3,0.0021767523357555853,40,coco_val,1,18,/datasets/coco/val/val2017,sheep
61,62,yolov3,1.0232707958218177,27,coco_val,10,40 4 52 27 46 33 19 7 78 25,/datasets/coco/val/val2017,"wine glass,airplane,hot dog,tie,banana,kite,cow,truck,toothbrush,umbrella"
62,63,yolov3,0.19599082889411829,78,coco_val,11,51 46 33 73 39 58 29 37 41 71 65,/datasets/coco/val/val2017,"carrot,banana,kite,book,bottle,potted plant,frisbee,surfboard,cup,sink,remote"
63,64,yolov3,0.0232926119928438,74,coco_val,3,18 56 36,/datasets/coco/val/val2017,"sheep,chair,skateboard"
64,65,yolov3,0.0014618333526657259,70,coco_val,11,18 28 5 65 33 74 41 39 8 73 14,/datasets/coco/val/val2017,"sheep,suitcase,bus,remote,kite,clock,cup,bottle,boat,book,bird"
65,66,yolov3,0.058750302960355126,88,coco_val,25,37 38 54 25 43 12 59 68 77 42 63 31 2 57 64 63 30 33 43 44 67 17 42 43 63,/datasets/coco/val/val2017,"surfboard,tennis racket,donut,umbrella,knife,parking meter,bed,microwave,teddy bear,fork,laptop,snowboard,car,couch,mouse,laptop,skis,kite,knife,spoon,cell phone,horse,fork,knife,laptop"
66,67,yolov3,1.1553123656844115,27,coco_val,10,62 19 8 49 28 62 51 59 16 72,/datasets/coco/val/val2017,"tv,cow,boat,orange,suitcase,tv,carrot,bed,dog,refrigerator"
67,68,yolov3,1.050080009587496,49,coco_val,23,30 36 64 18 71 9 75 60 11 25 66 33 54 9 11 49 51 72 25 41 0 22 42,/datasets/coco/val/val2017,"skis,skateboard,mouse,sheep,sink,traffic light,vase,dining table,stop sign,umbrella,keyboard,kite,donut,traffic light,stop sign,orange,carrot,refrigerator,umbrella,cup,person,zebra,fork"
68,69,yolov3,1.312609742207832,45,coco_val,7,21 67 12 7 49 28 16,/datasets/coco/val/val2017,"bear,cell phone,parking meter,truck,orange,suitcase,dog"
69,70,yolov3,1.0863447194631133,91,coco_val,20,51 68 3 8 68 2 26 78 34 17 65 32 34 11 67 73 3 72 50 15,/datasets/coco/val/val2017,"carrot,microwave,motorcycle,boat,microwave,car,handbag,toothbrush,baseball bat,horse,remote,sports ball,baseball bat,stop sign,cell phone,book,motorcycle,refrigerator,broccoli,cat"
70,71,yolov3,0.959747126499168,38,coco_val,10,55 24 35 12 8 59 74 50 29 11,/datasets/coco/val/val2017,"cake,backpack,baseball glove,parking meter,boat,bed,clock,broccoli,frisbee,stop sign"
71,72,yolov3,1.0028432046584497,32,coco_val,15,67 16 44 66 0 18 3 5 25 78 8 70 21 44 77,/datasets/coco/val/val2017,"cell phone,dog,spoon,keyboard,person,sheep,motorcycle,bus,umbrella,toothbrush,boat,toaster,bear,spoon,teddy bear"
72,73,yolov3,0.0028824076381469693,48,coco_val,40,28 45 1 25 28 40 4 74 3 29 29 76 54 64 42 58 19 50 66 38 34 39 8 27 59 45 76 6 57 3 51 0 25 50 45 12 7 37 57 74,/datasets/coco/val/val2017,"suitcase,bowl,bicycle,umbrella,suitcase,wine glass,airplane,clock,motorcycle,frisbee,frisbee,scissors,donut,mouse,fork,potted plant,cow,broccoli,keyboard,tennis racket,baseball bat,bottle,boat,tie,bed,bowl,scissors,train,couch,motorcycle,carrot,person,umbrella,broccoli,bowl,parking meter,truck,surfboard,couch,clock"
73,74,yolov3,0.4626183574275438,51,coco_val,17,17 59 47 46 33 42 35 12 23 49 66 46 55 67 54 35 72,/datasets/coco/val/val2017,"horse,bed,apple,banana,kite,fork,baseball glove,parking meter,giraffe,orange,keyboard,banana,cake,cell phone,donut,baseball glove,refrigerator"
74,75,yolov3,0.0205467514539448,84,coco_val,7,38 58 8 43 50 34 63,/datasets/coco/val/val2017,"tennis racket,potted plant,boat,knife,broccoli,baseball bat,laptop"
75,76,yolov3,0.003514302687197551,87,coco_val,3,21 30 18,/datasets/coco/val/val2017,"bear,skis,sheep"
76,77,yolov3,1.15274605632425,80,coco_val,4,57 40 77 22,/datasets/coco/val/val2017,"couch,wine glass,teddy bear,zebra"
77,78,yolov3,1.014060006921766,35,coco_val,2,33 66,/datasets/coco/val/val2017,"kite,keyboard"
78,79,yolov3,1.3009215385144717,58,coco_val,2,73 44,/datasets/coco/val/val2017,"book,spoon"
79,80,yolov3,0.2491960341529957,60,coco_val,35,57 62 56 56 4 35 31 58 62 25 1 73 68 77 3 44 20 35 78 40 19 31 58 19 45 71 29 10 75 26 39 71 19 64 33,/datasets/coco/val/val2017,"couch,tv,chair,chair,airplane,baseball glove,snowboard,potted plant,tv,umbrella,bicycle,book,microwave,teddy bear,motorcycle,spoon,elephant,baseball glove,toothbrush,wine glass,cow,snowboard,potted plant,cow,bowl,sink,frisbee,fire hydrant,vase,handbag,bottle,sink,cow,mouse,kite"
80,81,yolov3,0.8237964240342835,72,coco_val,9,11 15 30 70 2 56 41 14 65,/datasets/coco/val/val2017,"stop sign,cat,skis,toaster,car,chair,cup,bird,remote"
81,82,yolov3,0.11448818301476027,54,coco_val,16,74 50 13 74 8 57 66 8 37 20 68 74 53 60 64 3,/datasets/coco/val/val2017,"clock,broccoli,bench,clock,boat,couch,keyboard,boat,surfboard,elephant,microwave,clock,pizza,dining table,mouse,motorcycle"
82,83,yolov3,0.3012197888416015,64,coco_val,45,49 60 75 39 71 23 24 27 5 61 17 30 2 17 8 72 28 31 38 76 18 15 34 7 71 49 10 45 46 51 7 72 42 23 37 54 78 1 71 56 23 49 1 50 31,/datasets/coco/val/val2017,"orange,dining table,vase,bottle,sink,giraffe,backpack,tie,bus,toilet,horse,skis,car,horse,boat,refrigerator,suitcase,snowboard,tennis racket,scissors,sheep,cat,baseball bat,truck,sink,orange,fire hydrant,bowl,banana,carrot,truck,refrigerator,fork,giraffe,surfboard,donut,toothbrush,bicycle,sink,chair,giraffe,orange,bicycle,broccoli,snowboard"
83,84,yolov3,1.0141815562633338,10,coco_val,21,12 70 19 27 7 10 65 75 22 15 4 33 26 71 60 16 31 35 31 57 65,/datasets/coco/val/val2017,"parking meter,toaster,cow,tie,truck,fire hydrant,remote,vase,zebra,cat,airplane,kite,handbag,sink,dining table,dog,snowboard,baseball glove,snowboard,couch,remote"
84,85,yolov3,1.0077810833488143,96,coco_val,27,18 40 32 13 19 60 67 10 32 70 17 48 69 4 59 4 16 37 35 33 38 52 52 67 0 2 33,/datasets/coco/val/val2017,"sheep,wine glass,sports ball,bench,cow,dining table,cell phone,fire hydrant,sports ball,toaster,horse,sandwich,oven,airplane,bed,airplane,dog,surfboard,baseball glove,kite,tennis racket,hot dog,hot dog,cell phone,person,car,kite"
85,86,yolov3,0.9064571499976252,26,coco_val,25,68 26 72 39 26 27 22 69 76 64 9 74 59 15 22 35 65 49 53 71 45 35 3 58 49,/datasets/coco/val/val2017,"microwave,handbag,refrigerator,bottle,handbag,tie,zebra,oven,scissors,mouse,traffic light,clock,bed,cat,zebra,baseball glove,remote,orange,pizza,sink,bowl,baseball glove,motorcycle,potted plant,orange"
86,87,yolov3,0.025890584712513445,29,coco_val,3,76 22 61,/datasets/coco/val/val2017,"scissors,zebra,toilet"
87,88,yolov3,2.5309673774584267,19,coco_val,14,41 41 46 5 75 28 12 27 5 63 44 44 49 17,/datasets/coco/val/val2017,"cup,cup,banana,bus,vase,suitcase,parking meter,tie,bus,laptop,spoon,spoon,orange,horse"
88,89,yolov3,0.15489602920607873,61,coco_val,45,57 71 40 33 0 25 42 71 34 76 50 63 14 36 5 9 41 1 75 8 49 55 10 39 51 75 35 18 74 75 23 19 39 24 35 21 45 34 28 22 16 8 55 77 77,/datasets/coco/val/val2017,"couch,sink,wine glass,kite,person,umbrella,fork,sink,baseball bat,scissors,broccoli,laptop,bird,skateboard,bus,traffic light,cup,bicycle,vase,boat,orange,cake,fire hydrant,bottle,carrot,vase,baseball glove,sheep,clock,vase,giraffe,cow,bottle,backpack,baseball glove,bear,bowl,baseball bat,suitcase,zebra,dog,boat,cake,teddy bear,teddy bear"
89,90,yolov3,1.1127810725931169,20,coco_val,18,27 6 48 26 18 78 39 1 62 44 76 26 69 25 16 41 27 23,/datasets/coco/val/val2017,"tie,train,sandwich,handbag,sheep,toothbrush,bottle,bicycle,tv,spoon,scissors,handbag,oven,umbrella,dog,cup,tie,giraffe"
90,91,yolov3,0.0023921031260204584,78,coco_val,16,19 57 64 18 68 74 44 19 46 32 59 49 50 71 34 48,/datasets/coco/val/val2017,"cow,couch,mouse,sheep,microwave,clock,spoon,cow,banana,sports ball,bed,orange,broccoli,sink,baseball bat,sandwich"
91,92,yolov3,2.3623620065546618,33,coco_val,3,9 26 18,/datasets/coco/val/val2017,"traffic light,handbag,sheep"
92,93,yolov3,0.030561414277622462,24,coco_val,14,51 34 39 77 12 71 74 32 60 64 74 23 17 12,/datasets/coco/val/val2017,"carrot,baseball bat,bottle,teddy bear,parking meter,sink,clock,sports ball,dining table,mouse,clock,giraffe,horse,parking meter"
93,94,yolov3,0.08114868121026718,73,coco_val,10,43 9 4 3 25 75 5 54 19 6,/datasets/coco/val/val2017,"knife,traffic light,airplane,motorcycle,umbrella,vase,bus,donut,cow,train"
94,95,yolov3,0.02224701912968889,31,coco_val,19,30 56 38 47 67 60 69 24 5 64 29 62 21 44 8 23 10 55 49,/datasets/coco/val/val2017,"skis,chair,tennis racket,apple,cell phone,dining table,oven,backpack,bus,mouse,frisbee,tv,bear,spoon,boat,giraffe,fire hydrant,cake,orange"
95,96,yolov3,0.006059449516580741,56,coco_val,22,63 16 72 16 21 62 24 3 53 58 9 55 49 21 62 22 70 44 3 40 62 39,/datasets/coco/val/val2017,"laptop,dog,refrigerator,dog,bear,tv,backpack,motorcycle,pizza,potted plant,traffic light,cake,orange,bear,tv,zebra,toaster,spoon,motorcycle,wine glass,tv,bottle"
96,97,yolov3,1.9595837721267075,13,coco_val,21,4 19 54 48 23 77 37 24 41 24 24 71 76 64 31 70 33 74 7 22 64,/datasets/coco/val/val2017,"airplane,cow,donut,sandwich,giraffe,teddy bear,surfboard,backpack,cup,backpack,backpack,sink,scissors,mouse,snowboard,toaster,kite,clock,truck,zebra,mouse"
97,98,yolov3,1.0782948494575575,66,coco_val,3,6 1 28,/datasets/coco/val/val2017,"train,bicycle,suitcase"
98,99,yolov3,0.001022056808436324,98,coco_val,7,35 24 1 66 74 78 78,/datasets/coco/val/val2017,"baseball glove,backpack,bicycle,keyboard,clock,toothbrush,toothbrush"
99,100,yolov3,0.10894664770834127,90,coco_val,10,47 21 23 45 51 36 33 67 14 67,/datasets/coco/val/val2017,"apple,bear,giraffe,bowl,carrot,skateboard,kite,cell phone,bird,cell phone"
100,101,yolov3_tiny,0.04430375245218265,135,coco_val,13,47 59 35 47 40 75 6 38 74 32 43 70 57,/datasets/coco/val/val2017,"apple,bed,baseball glove,apple,wine glass,vase,train,tennis racket,clock,sports ball,knife,toaster,couch"
101,102,yolov3_tiny,0.13981961408994042,268,coco_val,5,0 63 57 76 21,/datasets/coco/val/val2017,"person,laptop,couch,scissors,bear"
102,103,yolov3_tiny,0.06431172050131989,13,coco_val,15,72 1 68 10 71 6 10 30 38 31 27 75 42 17 19,/datasets/coco/val/val2017,"refrigerator,bicycle,microwave,fire hydrant,sink,train,fire hydrant,skis,tennis racket,snowboard,tie,vase,fork,horse,cow"
103,104,yolov3_tiny,0.04311710058685491,104,coco_val,26,17 23 33 48 72 3 54 17 54 11 25 28 23 78 68 24 50 38 46 0 55 7 60 57 51 73,/datasets/coco/val/val2017,"horse,giraffe,kite,sandwich,refrigerator,motorcycle,donut,horse,donut,stop sign,umbrella,suitcase,giraffe,toothbrush,microwave,backpack,broccoli,tennis racket,banana,person,cake,truck,dining table,couch,carrot,book"
104,105,yolov3_tiny,0.018662266976517964,236,coco_val,26,6 58 47 14 50 74 75 45 38 70 6 11 47 51 6 11 24 23 67 36 40 34 21 18 74 8,/datasets/coco/val/val2017,"train,potted plant,apple,bird,broccoli,clock,vase,bowl,tennis racket,toaster,train,stop sign,apple,carrot,train,stop sign,backpack,giraffe,cell phone,skateboard,wine glass,baseball bat,bear,sheep,clock,boat"
